DATE,DIA US Equity,QQQ US Equity,SPY US Equity
2010-12-31,115.63,54.46,125.75
2011-01-01,115.63,54.46,125.75
2011-01-02,115.63,54.46,125.75
2011-01-03,116.41,55.31,127.05
2011-01-04,116.64,55.265,126.98
2011-01-05,117.04,55.74,127.64
2011-01-06,116.78,55.92,127.39
2011-01-07,116.57,55.87,127.14
2011-01-08,116.57,55.87,127.14
2011-01-09,116.57,55.87,127.14
2011-01-10,116.2,56.08,126.98
2011-01-11,116.55,56.16,127.43
2011-01-12,117.4,56.555,128.58
2011-01-13,117.2,56.575,128.3675
2011-01-14,117.69,57.0,129.3
2011-01-15,117.69,57.0,129.3
2011-01-16,117.69,57.0,129.3
2011-01-17,117.69,57.0,129.3
2011-01-18,118.23,57.16,129.52
2011-01-19,118.158,56.51,128.25
2011-01-20,118.12,56.11,128.08
2011-01-21,118.46,55.68,128.37
2011-01-22,118.46,55.68,128.37
2011-01-23,118.46,55.68,128.37
2011-01-24,119.56,56.45,129.1
2011-01-25,119.49,56.5325,129.17
2011-01-26,119.61,56.83,129.67
2011-01-27,119.64,57.18,129.99
2011-01-28,118.02,55.73,127.72
2011-01-29,118.02,55.73,127.72
2011-01-30,118.02,55.73,127.72
2011-01-31,118.6,56.0,128.68
2011-02-01,120.09,57.05,130.74
2011-02-02,120.1,56.955,130.485
2011-02-03,120.37,57.0575,130.78
2011-02-04,120.69,57.375,131.15
2011-02-05,120.69,57.375,131.15
2011-02-06,120.69,57.375,131.15
2011-02-07,121.35,57.65,131.97
2011-02-08,122.14,58.025,132.57
2011-02-09,122.28,57.93,132.269
2011-02-10,122.17,58.021,132.321
2011-02-11,122.65,58.44,133.11
2011-02-12,122.65,58.44,133.11
2011-02-13,122.65,58.44,133.11
2011-02-14,122.61,58.58,133.43
2011-02-15,122.2,58.5,133.01
2011-02-16,122.88,58.881,133.85
2011-02-17,123.16,58.86,134.25
2011-02-18,123.6,58.73,134.53
2011-02-19,123.6,58.73,134.53
2011-02-20,123.6,58.73,134.53
2011-02-21,123.6,58.73,134.53
2011-02-22,121.89,57.03,131.83
2011-02-23,120.85,56.56,131.02
2011-02-24,120.42,56.855,130.93
2011-02-25,121.14,57.65,132.33
2011-02-26,121.14,57.65,132.33
2011-02-27,121.14,57.65,132.33
2011-02-28,122.15,57.768875,133.15
2011-03-01,120.37,56.84,130.93
2011-03-02,120.45,57.14,131.21
2011-03-03,122.36,58.265,133.47
2011-03-04,121.471,57.9675,132.47
2011-03-05,121.471,57.9675,132.47
2011-03-06,121.471,57.9675,132.47
2011-03-07,120.71,57.19,131.43
2011-03-08,121.99,57.42,132.58
2011-03-09,122.01,57.03,132.39
2011-03-10,119.73,56.14,129.9375
2011-03-11,120.42,56.49,130.84
2011-03-12,120.42,56.49,130.84
2011-03-13,120.42,56.49,130.84
2011-03-14,119.85,56.29,130.05
2011-03-15,118.43,55.49,128.56
2011-03-16,116.16,54.15,126.175
2011-03-17,117.69,54.65,127.85
2011-03-18,118.27,54.45,127.76
2011-03-19,118.27,54.45,127.76
2011-03-20,118.27,54.45,127.76
2011-03-21,120.07,55.5,129.74
2011-03-22,119.92,55.395,129.29
2011-03-23,120.63,55.71,129.66
2011-03-24,121.46,56.7,130.9
2011-03-25,121.96,56.84,131.3
2011-03-26,121.96,56.84,131.3
2011-03-27,121.96,56.84,131.3
2011-03-28,121.76,56.53,130.98
2011-03-29,122.51,57.08,131.86
2011-03-30,123.21,57.35,132.77
2011-03-31,123.02,57.43,132.59
2011-04-01,123.46,57.46,133.15
2011-04-02,123.46,57.46,133.15
2011-04-03,123.46,57.46,133.15
2011-04-04,123.76,57.27,133.26
2011-04-05,123.65,57.12,133.24
2011-04-06,124.17,57.26,133.66
2011-04-07,123.91,57.22,133.32
2011-04-08,123.65,56.95,132.86
2011-04-09,123.65,56.95,132.86
2011-04-10,123.65,56.95,132.86
2011-04-11,123.64,56.76,132.46
2011-04-12,122.46,56.37,131.47
2011-04-13,122.55,56.85,131.46
2011-04-14,122.72,56.75,131.56
2011-04-15,123.19,56.65,132.04
2011-04-16,123.19,56.65,132.04
2011-04-17,123.19,56.65,132.04
2011-04-18,121.74,56.25,130.56
2011-04-19,122.389875,56.6,131.31
2011-04-20,124.34,57.875,133.1
2011-04-21,124.79,58.34,133.78
2011-04-22,124.79,58.34,133.78
2011-04-23,124.79,58.34,133.78
2011-04-24,124.79,58.34,133.78
2011-04-25,124.55,58.49,133.64
2011-04-26,125.7,58.82,134.791
2011-04-27,126.69,59.22,135.67
2011-04-28,127.42,59.13,136.11
2011-04-29,128.04,59.08,136.43
2011-04-30,128.04,59.08,136.43
2011-05-01,128.04,59.08,136.43
2011-05-02,127.84,58.97,136.22
2011-05-03,127.82,58.69,135.73
2011-05-04,126.97,58.6,134.83
2011-05-05,125.64,58.28,133.61
2011-05-06,126.27,58.47,134.2
2011-05-07,126.27,58.47,134.2
2011-05-08,126.27,58.47,134.2
2011-05-09,126.71,58.69,134.72
2011-05-10,127.451,59.19,135.87
2011-05-11,126.31,58.755,134.44
2011-05-12,126.99,59.11,135.08
2011-05-13,125.96,58.41,134.04
2011-05-14,125.96,58.41,134.04
2011-05-15,125.96,58.41,134.04
2011-05-16,125.47,57.399,133.19
2011-05-17,124.81,57.56,133.17
2011-05-18,125.71,58.04,134.36
2011-05-19,126.18,58.21,134.68
2011-05-20,124.85,57.765,133.61
2011-05-21,124.85,57.765,133.61
2011-05-22,124.85,57.765,133.61
2011-05-23,123.52,56.92,132.06
2011-05-24,123.3,56.57,131.95
2011-05-25,123.65,56.79,132.39
2011-05-26,123.8,57.1415,133.0
2011-05-27,124.23,57.43,133.51
2011-05-28,124.23,57.43,133.51
2011-05-29,124.23,57.43,133.51
2011-05-30,124.23,57.43,133.51
2011-05-31,125.5,58.36,134.9
2011-06-01,122.7,57.09,131.87
2011-06-02,122.3,57.21,131.73
2011-06-03,121.32,56.35,130.42
2011-06-04,121.32,56.35,130.42
